exposure_component	exposure_category	chip_type	chip_status	outcome	incidence_rate_100py	ci_95	p_value_rate	pval_interaction
PA_score	Intermediate	ASXL1	Carrier	Coronary_Artery_Disease_Death	1.47224870512511	(0.40 - 3.77)	4.94065645841247e-324	0.564144357059032
PA_score	Intermediate	ASXL1	Non-carrier	Coronary_Artery_Disease_Death	0.319711341898791	(0.27 - 0.37)	4.44659081257122e-323	0.564144357059032
PA_score	High	ASXL1	Carrier	Coronary_Artery_Disease_Death	0.405223794023536	(0.05 - 1.46)	4.94065645841247e-324	0.564144357059032
PA_score	High	ASXL1	Non-carrier	Coronary_Artery_Disease_Death	0.305769924580643	(0.27 - 0.35)	5.43472210425371e-323	0.564144357059032
PA_score	Low	CHIP	Carrier	Coronary_Artery_Disease_Death	0.486859469173008	(0.41 - 0.57)	3.45845952088873e-323	0.13043931164575
PA_score	Low	CHIP	Non-carrier	Coronary_Artery_Disease_Death	0.342359194413733	(0.32 - 0.36)	1.33397724377137e-322	0.13043931164575
PA_score	Intermediate	CHIP	Carrier	Coronary_Artery_Disease_Death	0.497947296231326	(0.28 - 0.81)	9.88131291682493e-324	0.13043931164575
PA_score	Intermediate	CHIP	Non-carrier	Coronary_Artery_Disease_Death	0.3140114919846	(0.26 - 0.37)	4.44659081257122e-323	0.13043931164575
PA_score	High	CHIP	Carrier	Coronary_Artery_Disease_Death	0.558487239250666	(0.37 - 0.81)	1.48219693752374e-323	0.13043931164575
PA_score	High	CHIP	Non-carrier	Coronary_Artery_Disease_Death	0.287619728955955	(0.25 - 0.33)	5.43472210425371e-323	0.13043931164575
PA_score	Low	DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.43430319045562	(0.34 - 0.55)	2.47032822920623e-323	0.800595034227626
PA_score	Low	DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.348778892890924	(0.33 - 0.37)	1.33397724377137e-322	0.800595034227626
PA_score	Intermediate	DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.330171283978538	(0.12 - 0.72)	9.88131291682493e-324	0.800595034227626
PA_score	Intermediate	DNMT3A	Non-carrier	Coronary_Artery_Disease_Death	0.325977967567463	(0.28 - 0.38)	4.44659081257122e-323	0.800595034227626
PA_score	High	DNMT3A	Carrier	Coronary_Artery_Disease_Death	0.462383109817884	(0.25 - 0.79)	9.88131291682493e-324	0.800595034227626
